기온분석,,,,
[검색조건],,,,
자료구분 : 년,,,,
자료형태 : 기본,,,,
지역/지점 : ,,,,
기간 : 2018~2024,,,,
년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2018,248,11.1,5.2,17.7
2018,251,12.8,7.9,18.7
2018,252,13.1,8.4,18.7
2018,253,14.8,10.5,20.3
2018,254,12.8,7.4,19.2
2018,255,14.4,10,19.8
2018,257,14.8,10,20.5
2018,258,14.1,9.1,19.4
2018,259,14,9.3,19.5
2018,260,13.8,8.5,19.5
2018,261,13.2,7.9,19
2018,262,13.6,8.5,19.1
2018,263,13.5,7.6,20.4
2018,264,12.7,6.7,19.6
2018,266,14.8,10.7,19.8
2018,268,14.1,9.8,18.5
2018,271,10.3,4,17.4
2018,272,11.6,5.9,17.6
2018,273,12.4,7,18.4
2018,276,11.2,5.3,18.1
2018,277,13.4,8.6,18.9
2018,278,12.4,5.7,20.2
2018,279,13.6,8.5,19.3
2018,281,13.3,7.6,19.8
2018,283,13.5,8.1,19.7
2018,284,12.3,6.2,19.1
2018,285,13.3,7.3,20.3
2018,288,13.8,8.2,20.3
2018,289,13.1,7.8,19.5
2018,294,15,11,19.8
2018,295,14.6,10.3,19.7
2018,90,12.6,8.5,16.9
2018,93,11.2,5.3,17.9
2018,95,10.4,4.6,16.7
2018,98,11.7,6.4,18.4
2018,99,10.5,4.9,17.1
2018,100,7.2,2,12.5
2018,101,11.6,6.4,17.6
2018,102,11,8.3,14.1
2018,104,12.7,8.5,16.9
2018,105,13.7,9.8,18
2018,106,13.2,9.4,17.1
2018,108,12.9,8.8,17.9
2018,112,12.5,9.2,16.3
2018,114,12.4,7.7,17.7
2018,115,13,10.5,16
2018,119,12.7,7.9,18.5
2018,121,11.5,6.1,18
2018,127,12,6.4,18.4
2018,129,12.2,7.4,17.6
2018,130,13,8.6,17.8
2018,131,13.5,9.1,18.7
2018,133,13.5,8.8,19
2018,135,11.9,6.5,17.5
2018,136,12.7,7.3,18.9
2018,137,13.1,8,19.1
2018,138,14.8,11.1,19
2018,140,13.2,9,18.1
2018,143,14.1,9.2,19.6
2018,146,13.9,9.5,19.3
2018,152,14.3,10.2,19
2018,155,14.2,10.1,19.1
2018,156,14.6,10.3,20.1
2018,159,15.1,11.8,19.2
2018,162,14.8,11.2,19.2
2018,165,14.4,11.1,18.4
2018,168,14.9,12,18.4
2018,169,13.8,11.4,17.2
2018,170,14.8,11.1,19.2
2018,172,13.3,8.5,18.8
2018,174,12.7,7.3,18.8
2018,175,12.2,9.1,17.1
2018,177,12.4,7.3,17.8
2018,184,16.6,13.9,19.8
2018,185,16.1,13.6,19.2
2018,188,15.7,12.3,19.3
2018,189,16.7,13.9,20
2018,192,13.4,7.7,19.8
2018,201,11.3,6.5,16.4
2018,202,12.1,6.8,18.2
2018,203,11.7,6,18.3
2018,211,10.1,4.8,16.5
2018,212,11.2,5.6,18
2018,216,9.3,4.2,14.8
2018,217,10.6,5.4,17.2
2018,221,10.5,4.5,17.4
2018,226,11.6,5.7,18.5
2018,232,11.8,6.2,18
2018,235,13,8.8,17.6
2018,236,12.7,7.3,19.1
2018,238,12,6.2,18.6
2018,243,13.3,8.8,18.8
2018,244,12,6,18.8
2018,245,13.1,8.4,18.7
2018,247,13,7.7,19.2
2019,112,13.2,9.9,17.1
2019,114,13,8.1,18.3
2019,115,13.7,11.1,16.8
2019,119,13.2,8.2,18.8
2019,121,12.1,6.6,18.7
2019,127,12.3,6.7,18.6
2019,129,12.7,7.6,18.3
2019,130,13.9,9.6,18.7
2019,131,14.2,9.7,19.3
2019,133,14,9.2,19.5
2019,135,12.4,7.1,17.9
2019,136,12.9,7.4,18.9
2019,137,13.4,8.3,19.2
2019,138,15.5,11.8,19.8
2019,140,13.5,9.3,18.4
2019,143,14.8,9.9,20.3
2019,146,14.2,9.7,19.5
2019,152,14.9,10.7,19.7
2019,155,14.6,10.5,19.7
2019,156,14.7,10.5,20
2019,159,15.7,12.5,19.8
2019,162,15.3,11.6,19.8
2019,165,14.3,11.1,18.2
2019,168,15.4,12.5,19
2019,169,14.1,11.7,17.4
2019,170,15,11.3,19.5
2019,172,13.4,8.6,18.9
2019,174,13.1,7.9,19.3
2019,175,,,
2019,177,12.7,7.5,18.3
2019,184,16.8,14.2,19.9
2019,185,16.2,13.7,19.2
2019,188,16.1,12.5,19.8
2019,251,13.2,8.3,18.9
2019,252,13.3,8.6,18.6
2019,253,15.5,11.2,21.1
2019,254,13,7.6,19.5
2019,255,14.2,9.7,19.8
2019,257,15.4,10.6,21.3
2019,258,14.3,9.3,19.8
2019,259,14.3,9.4,19.8
2019,260,14.2,8.8,20
2019,261,13.2,7.8,19.1
2019,262,13.9,8.7,19.4
2019,263,14,8.2,20.9
2019,264,13.2,7.3,20
2019,266,15.4,11.2,20.5
2019,268,14.2,9.8,18.6
2019,271,11,4.8,18.1
2019,272,12.1,6.4,18.1
2019,273,12.9,7.4,18.9
2019,276,11.7,5.8,18.5
2019,277,14.3,9.6,19.9
2019,278,12.9,6.3,20.7
2019,279,14.2,9.1,19.9
2019,281,14.1,8.3,20.5
2019,283,14.1,8.7,20.5
2019,284,12.7,6.7,19.6
2019,285,13.8,8,20.9
2019,288,14.3,8.6,20.8
2019,289,13.7,8.3,20.2
2019,294,15.6,11.5,20.5
2019,295,15.2,10.9,20.3
2019,189,17.3,14.4,20.5
2019,192,13.9,8.3,20.5
2019,201,12.2,7.1,17.4
2019,202,12.7,7.4,18.8
2019,203,12.3,6.6,18.9
2019,211,11.2,5.8,17.6
2019,212,12.1,6.6,19
2019,216,9.9,4.8,15.6
2019,217,11.2,5.9,17.9
2019,221,11.1,4.9,18.2
2019,226,12.2,6.1,19
2019,232,12,6.3,18.1
2019,234,,,
2019,235,13.2,8.9,18.1
2019,236,12.9,7.4,19.5
2019,238,12.4,6.6,19.2
2019,239,,,
2019,243,13.7,9.1,19.1
2019,244,12.2,6.4,19.1
2019,245,13.3,8.5,18.8
2019,247,13.3,8,19.6
2019,248,11.4,5.6,18
2019,90,13.8,9.6,18
2019,93,11.7,5.8,18.3
2019,95,11.1,5,17.5
2019,98,12,6.6,18.4
2019,99,11.3,5.5,17.7
2019,100,8.1,2.7,13.6
2019,101,12.3,7.1,18.3
2019,102,12,9.3,15.3
2019,104,13.6,9.4,17.9
2019,105,14.7,10.7,19.4
2019,106,13.4,9.6,17.4
2019,108,13.5,9.3,18.5
2020,248,11.2,6,17.3
2020,251,13.3,8.7,18.7
2020,252,13.3,9,18.4
2020,253,14.8,10.6,20.2
2020,254,13,8,18.9
2020,255,15.2,10.9,20.5
2020,257,15,10.4,20.7
2020,258,14.6,9.8,19.8
2020,259,14.2,9.6,19.5
2020,260,13.7,8.6,19.2
2020,261,13.4,8.3,18.8
2020,262,13.6,8.7,19
2020,263,13.9,8.3,20.7
2020,264,13,7.5,19.7
2020,266,15,11,20
2020,268,14.2,10.1,18.5
2020,271,10.8,5.3,16.9
2020,272,12,6.7,17.6
2020,273,12.5,7.5,18
2020,276,11.5,5.7,18.5
2020,277,13.5,9.1,18.7
2020,278,12.3,6.1,19.5
2020,279,13.9,9,19.6
2020,281,13.3,7.9,19.3
2020,283,13.9,8.7,19.9
2020,284,12.5,6.8,19.1
2020,285,13.5,8.1,20
2020,288,14.1,8.7,20.3
2020,289,13.3,8.3,19.3
2020,294,14.7,11.1,19.1
2020,295,14.6,10.6,19.4
2020,90,13.3,9.3,17.5
2020,93,11.4,5.9,17.8
2020,95,11,5.4,16.9
2020,98,11.8,6.8,18
2020,99,11.2,5.8,17.3
2020,100,7.8,2.7,13.1
2020,101,12.2,7.1,18
2020,102,12.1,9.7,15
2020,104,13.1,8.9,17.5
2020,105,14.3,10.4,18.6
2020,106,12.9,9.3,16.9
2020,108,13.2,9.4,17.9
2020,112,12.8,9.8,16.3
2020,114,12.8,8.2,17.9
2020,115,13.4,11,16.5
2020,119,12.9,8.5,18
2020,121,11.9,6.7,18.4
2020,127,12.1,6.8,18.1
2020,129,12.6,8,18
2020,130,13.4,9.1,18
2020,131,13.9,9.7,18.9
2020,133,13.7,9.2,19.2
2020,135,12,7.1,17.4
2020,136,12.6,7.3,18.6
2020,137,13.1,8.2,18.8
2020,138,15.1,11.4,19.4
2020,140,13.4,9.4,18.2
2020,143,14.5,9.8,20
2020,146,14,9.7,19.2
2020,152,14.6,10.6,19.3
2020,155,14.4,10.5,19.3
2020,156,14.5,10.5,19.6
2020,159,15.2,11.9,19.4
2020,162,15,11.5,19.3
2020,165,14,11,17.5
2020,168,15.1,12.2,18.6
2020,169,14.1,11.8,17.4
2020,170,14.9,11.3,19.1
2020,172,13.3,8.9,18.6
2020,174,13,8,18.9
2020,177,12.8,8,18
2020,184,16.7,14,20
2020,185,16,13.6,19
2020,188,16,12.6,19.5
2020,189,16.8,13.9,19.9
2020,192,13.7,8.3,20
2020,201,11.9,7.3,16.6
2020,202,12.5,7.7,18.1
2020,203,12.5,7.3,18.4
2020,211,11.2,6.2,17.3
2020,212,11.6,6.3,18
2020,216,9.6,4.9,15
2020,217,11,6,17.4
2020,221,11,5.3,17.1
2020,226,11.7,6.3,18
2020,232,12.2,7,18
2020,235,13.1,9.1,17.7
2020,236,12.8,7.7,18.9
2020,238,12.5,7.2,18.7
2020,239,13.1,8.5,18.5
2020,243,13.5,9.4,18.5
2020,244,12,6.9,18
2020,245,13.2,8.8,18.5
2020,247,13.1,8.1,19.1
2021,90,13.2,9.2,17.4
2021,93,11.6,6.1,18
2021,95,11.3,5.6,17.5
2021,98,12.1,6.9,18.4
2021,99,11.5,6.1,17.9
2021,100,7.9,2.9,13.3
2021,101,12.4,7.3,18.4
2021,102,12.5,9.7,15.8
2021,104,13.1,8.8,17.5
2021,105,14.6,10.5,19.2
2021,106,13.5,9.7,17.6
2021,108,13.7,9.6,18.5
2021,112,13.4,10,17.1
2021,114,13,8.2,18.2
2021,115,13.5,11,16.7
2021,119,13.4,8.7,18.6
2021,121,12.1,6.9,18.5
2021,127,12.4,7.1,18.4
2021,129,13.2,8.4,18.8
2021,130,13.5,9.1,18.1
2021,131,14.4,9.9,19.3
2021,133,14.3,9.5,19.7
2021,135,12.3,7.2,17.7
2021,136,12.7,7.5,18.7
2021,137,13.2,8.2,19
2021,138,15.2,11.5,19.2
2021,140,13.9,9.8,18.9
2021,143,14.6,9.8,20.2
2021,146,14.6,10.1,19.9
2021,152,14.9,10.8,19.6
2021,155,14.9,10.8,19.9
2021,156,15.1,10.8,20.3
2021,251,14,9.1,19.6
2021,252,14,9.4,19.4
2021,253,15.1,10.7,20.6
2021,254,13.6,8.4,19.8
2021,255,15.8,11.3,21.3
2021,257,15.4,10.7,21.1
2021,258,15,10,20.5
2021,259,14.8,10,20.5
2021,260,14.2,9,20
2021,261,13.9,8.7,19.7
2021,262,14.3,9.4,19.9
2021,263,14.3,8.4,21.4
2021,264,13.3,7.7,20.1
2021,266,15.5,11.3,20.6
2021,268,,,
2021,271,10,4.6,16.1
2021,272,12,6.6,17.8
2021,273,12.5,7.5,18.2
2021,276,11.5,5.7,18.6
2021,277,13.5,8.9,18.7
2021,278,12.4,6.3,19.7
2021,279,13.9,8.9,20
2021,281,13.3,7.9,19.4
2021,283,13.9,8.6,20
2021,284,12.8,7,19.6
2021,285,13.9,8.5,20.4
2021,288,14.5,9.1,21
2021,289,13.6,8.3,19.9
2021,294,15.2,11.3,19.5
2021,295,15.1,11,19.9
2021,159,15.7,12.4,19.9
2021,162,15.6,11.9,20.1
2021,165,15.1,11.8,18.9
2021,168,15.7,12.7,19.2
2021,169,15.3,12.8,18.7
2021,170,15.6,11.9,19.9
2021,172,14,9.2,19.6
2021,174,13.5,8.2,19.8
2021,177,13.3,8.3,18.7
2021,184,17.5,14.6,21
2021,185,17,14.3,20.3
2021,188,16.7,13.3,20.4
2021,189,17.5,14.7,20.7
2021,192,14.1,8.5,20.5
2021,201,12.3,7.6,17.3
2021,202,12.7,7.9,18.3
2021,203,12.7,7.3,18.8
2021,211,11.4,6.3,17.6
2021,212,11.8,6.5,18.2
2021,216,9.5,4.8,14.9
2021,217,11.4,6.3,17.8
2021,221,11.2,5.6,17.4
2021,226,12.1,6.7,18.4
2021,232,12.5,7.2,18.5
2021,235,13.8,9.6,18.5
2021,236,13.3,8.1,19.5
2021,238,12.9,7.5,19.2
2021,239,13.5,8.8,18.9
2021,243,14,9.6,19.3
2021,244,12.5,7.2,18.7
2021,245,13.8,9.1,19.2
2021,247,13.4,8.3,19.6
2021,248,11.6,6,17.9
2022,247,12.9,7.3,19.1
2022,248,11,5.1,17.6
2022,251,13.3,8.3,19.1
2022,252,13.4,8.7,18.8
2022,253,14.9,10.5,20.4
2022,254,13.1,7.5,19.4
2022,255,15.4,11,20.7
2022,257,15.3,10.5,21.2
2022,258,14.6,9.6,20.2
2022,259,14.5,9.5,20.3
2022,260,13.9,8.4,19.8
2022,261,13.5,8.3,19.2
2022,262,13.9,8.8,19.3
2022,263,13.9,7.6,21.2
2022,264,13.1,6.9,20.1
2022,266,15.2,10.9,20.6
2022,268,14,9.7,18.7
2022,271,10.8,4.9,17.3
2022,272,11.8,6.1,17.7
2022,273,12.5,7.1,18.3
2022,276,11.3,4.7,18.8
2022,277,13.4,8.7,18.9
2022,278,12.2,5.6,19.7
2022,279,13.9,8.6,20
2022,281,13.2,7.5,19.5
2022,283,13.8,8.2,20.4
2022,284,12.6,6.3,19.7
2022,285,13.7,7.9,20.5
2022,288,14.6,8.9,21.1
2022,289,13.4,7.8,19.9
2022,294,14.8,10.9,19.2
2022,295,14.7,10.6,19.6
2022,90,12.9,8.8,17.1
2022,93,11,5.2,17.5
2022,95,10.5,4.7,16.7
2022,98,11.5,6.3,17.9
2022,99,10.7,5,17.1
2022,100,7.6,2.2,13.2
2022,101,11.9,6.4,18.1
2022,102,11.8,9.1,14.8
2022,104,13.1,8.9,17.5
2022,105,14.7,10.6,19.3
2022,106,13.7,9.9,17.8
2022,108,13.2,9.2,18
2022,112,12.5,9.3,16.3
2022,114,12.4,7.6,17.7
2022,115,13.6,10.9,16.8
2022,119,12.8,8.1,18
2022,121,11.6,6.1,18.4
2022,127,11.9,6.2,18.1
2022,129,12.3,7.5,17.6
2022,130,13.3,9,18.1
2022,131,13.9,9.4,19
2022,133,13.5,8.5,19.4
2022,135,12,6.6,17.6
2022,136,12.6,6.9,18.8
2022,137,13.3,8,19.3
2022,138,15.1,11.2,19.5
2022,185,16.4,13.9,19.4
2022,140,13.2,8.9,18.1
2022,143,14.7,9.6,20.4
2022,146,14,9.5,19.4
2022,152,14.7,10.5,19.5
2022,155,14.7,10.5,19.7
2022,156,14.8,10.5,20.2
2022,159,15.4,12,19.8
2022,162,15.1,11.4,19.7
2022,165,14.3,11.1,18.2
2022,168,15.1,12.1,18.8
2022,169,14,11.6,17.3
2022,170,15.2,11.4,19.8
2022,172,13.3,8.4,19
2022,174,13.2,7.7,19.6
2022,177,12.7,7.5,18.2
2022,181,,,
2022,184,17,14.1,20.5
2022,188,16.1,12.8,19.7
2022,189,17.2,14.4,20.4
2022,192,13.8,8,20.4
2022,201,11.5,6.8,16.4
2022,202,12.2,7.3,17.9
2022,203,12.2,6.6,18.4
2022,211,10.9,5.5,17.3
2022,212,11.1,5.7,17.7
2022,216,9.1,3.8,15
2022,217,10.9,5.4,17.5
2022,221,10.5,4.5,17
2022,226,11.6,6,17.9
2022,232,12,6.4,18.1
2022,235,13.1,8.8,17.9
2022,236,12.8,7.3,19.1
2022,238,12.2,6.4,18.7
2022,239,13,8.1,18.7
2022,243,13.5,9,18.8
2022,244,12,6.4,18.5
2022,245,13.2,8.5,18.6
2023,247,13.8,8.6,19.9
2023,248,12,6.3,18.3
2023,251,14.1,9.2,19.8
2023,252,14.1,9.5,19.4
2023,253,15.5,11.1,21.1
2023,254,13.8,8.5,19.9
2023,255,16.1,11.7,21.3
2023,257,16,11.2,21.7
2023,258,15,10,20.5
2023,259,15,10.1,20.6
2023,260,14.4,9,20.3
2023,261,14.6,9.6,20.1
2023,262,14.5,9.6,20
2023,263,14.5,8.6,21.6
2023,264,13.8,7.9,20.6
2023,266,15.5,11.3,20.8
2023,268,14.6,10.1,19.3
2023,271,11.6,6.1,17.9
2023,272,12.4,6.9,18.3
2023,273,13.2,7.9,19
2023,276,12,5.8,19.5
2023,277,14.1,9.5,19.1
2023,278,12.9,6.7,20.3
2023,279,14.4,9.3,20.3
2023,281,13.9,8.3,20
2023,283,14.5,8.9,20.9
2023,284,12.9,7,19.9
2023,285,14.4,8.8,20.9
2023,288,15,9.6,21.4
2023,289,13.9,8.5,20.3
2023,294,15.3,11.4,19.6
2023,295,15.3,11.2,20
2023,296,,,
2023,90,13.6,9.5,17.8
2023,93,11.9,6.4,18.2
2023,95,11.5,5.9,17.5
2023,98,12.5,7.4,18.5
2023,99,11.7,6.4,17.8
2023,100,8.5,3.2,14
2023,101,12.4,7,18.4
2023,102,12.5,9.9,15.6
2023,104,13.9,9.8,18.2
2023,105,15.5,11.4,20
2023,106,14.4,10.6,18.5
2023,108,14.1,10,18.7
2023,112,13.4,10.2,17.1
2023,114,13.5,8.7,18.7
2023,115,14.6,11.9,17.8
2023,119,13.3,8.7,18.6
2023,121,12.4,7,19
2023,127,12.9,7.4,19
2023,129,13.3,8.6,18.5
2023,130,14.1,9.9,18.6
2023,131,14.8,10.4,19.8
2023,133,14,9.1,19.8
2023,135,12.8,7.4,18.4
2023,136,13.3,7.8,19.4
2023,137,13.9,8.7,19.8
2023,138,15.7,12,19.8
2023,140,13.9,9.7,18.9
2023,143,15.1,10.2,20.7
2023,146,14.8,10.3,20.1
2023,152,15,10.8,19.8
2023,155,15.2,11,20.2
2023,156,15.3,11,20.5
2023,159,16,12.8,20.2
2023,162,15.5,11.9,20.1
2023,165,14.9,11.6,18.8
2023,168,15.5,12.6,19.1
2023,169,14.3,11.8,17.6
2023,170,15.6,11.8,20.2
2023,172,,,
2023,174,13.5,8.2,19.8
2023,177,13.7,8.7,19
2023,181,13.1,7.5,19.2
2023,184,17.5,14.5,21
2023,185,16.6,14.2,19.4
2023,188,16.7,13.3,20.4
2023,189,17.7,14.8,20.8
2023,192,14.4,8.8,20.7
2023,201,12.1,7.6,16.9
2023,202,13.1,8.2,18.6
2023,203,13.1,7.6,19.1
2023,211,11.8,6.5,18.1
2023,212,12.1,6.9,18.5
2023,216,10,4.6,15.8
2023,217,11.5,5.6,18.6
2023,221,11.4,5.8,17.7
2023,226,12.6,7.1,18.7
2023,232,13,7.7,19
2023,235,13.9,9.7,18.7
2023,236,13.7,8.4,19.9
2023,238,13,7.4,19.3
2023,239,13.8,9,19.3
2023,243,14.3,9.9,19.5
2023,244,13.1,7.8,19.3
2023,245,14.2,9.5,19.6
2024,104,14.2,10.2,18.5
2024,105,15.3,11.6,19.5
2024,106,14.7,10.9,19.1
2024,108,14.9,11,19.5
2024,112,14.2,11,18
2024,114,14.5,10.1,19.5
2024,115,14.7,12.2,17.7
2024,119,14.1,9.7,19.2
2024,121,13.4,8.3,19.6
2024,127,13.8,8.7,19.5
2024,129,14.1,9.6,19.2
2024,130,14.5,10.5,18.9
2024,131,15.6,11.5,20.4
2024,133,14.9,10.4,20.3
2024,135,13.5,8.7,18.8
2024,136,14.2,9.1,20
2024,137,14.6,9.9,20.1
2024,138,16.2,12.7,20
2024,140,14.8,10.8,19.4
2024,143,15.8,11.3,21.2
2024,146,15.8,11.6,20.8
2024,152,15.6,11.6,20.1
2024,155,16.2,12.3,21.1
2024,156,16,12,20.9
2024,159,16.7,13.4,20.9
2024,162,16.1,12.6,20.6
2024,165,15.7,12.6,19.5
2024,168,16.3,13.4,19.7
2024,169,15.8,13.3,19.3
2024,170,16.5,12.6,21.5
2024,172,,,
2024,174,13.8,8.9,19.7
2024,177,14.4,9.7,19.5
2024,181,13.7,8.6,19.4
2024,184,18.2,15.4,21.4
2024,185,17.3,15,19.9
2024,188,17.4,14.1,20.9
2024,189,18.3,15.5,21.7
2024,192,15,9.8,21.2
2024,201,12.9,8.4,17.7
2024,202,13.9,9.4,19.2
2024,203,13.9,8.8,19.7
2024,211,12.5,7.5,18.6
2024,212,13,8,19.1
2024,216,10.7,5.6,16.6
2024,217,12.2,6.5,19.4
2024,221,12.4,7.1,18.3
2024,226,13.5,8.5,19.2
2024,232,13.8,8.8,19.4
2024,235,14.8,10.6,19.8
2024,236,14.4,9.5,20.3
2024,238,14.1,8.9,20.1
2024,239,14.5,10.1,19.8
2024,243,15.1,11,20.2
2024,244,14,8.9,19.8
2024,245,15.2,10.7,20.7
2024,247,14.8,9.9,20.5
2024,248,12.8,7.6,18.8
2024,251,15,10.3,20.5
2024,252,15,10.7,20
2024,253,16.1,11.9,21.7
2024,254,14.7,9.7,20.6
2024,255,16.9,12.8,22.1
2024,257,16.8,12.3,22.3
2024,258,15.8,11.2,21
2024,259,15.8,11.2,21.2
2024,260,15.3,10.4,20.8
2024,261,15.6,10.9,20.7
2024,262,15.9,11,21.4
2024,263,15.6,10.1,22.2
2024,264,14.7,9.3,21
2024,266,16.2,12.1,21.4
2024,268,15.5,11.4,20
2024,271,12.8,7.6,18.7
2024,272,13.4,8.3,18.9
2024,273,13.9,9.1,19.4
2024,276,13,7.2,20
2024,277,14.6,10.2,19.6
2024,278,13.9,8.1,20.9
2024,279,15.2,10.4,20.9
2024,281,14.7,9.5,20.5
2024,283,15.3,10.2,21.2
2024,284,13.5,8.1,20
2024,285,15.4,10.2,21.6
2024,288,15.8,10.8,21.9
2024,289,14.7,9.7,20.7
2024,294,16,12.2,20.3
2024,295,16,12.2,20.5
2024,296,16.3,11.5,21.7
2024,90,14.1,10.3,18.1
2024,93,12.9,7.5,19.1
2024,95,12.3,6.9,18.3
2024,98,13.2,8.4,19.2
2024,99,12.5,7.3,18.6
2024,100,8.9,3.8,14.1
2024,101,13.3,8.1,19.1
2024,102,13.2,10.6,16.4
			,,,,
